customer_id,customer_name,city,country,signup_date
C0001,Alex Lamb,Hoodhaven,Bulgaria,2025-10-19
C0002,Robert Ramirez,Craighaven,United Arab Emirates,2024-10-10
C0003,Natalie Norris,Robertburgh,Denmark,2025-11-28
C0004,Amber Dickerson,Andersonfort,Uganda,2024-07-07
C0005,Sean Kaiser,Hammondberg,Lebanon,2024-07-09
C0006,Robert Hodge,Reedhaven,Yemen,2025-01-27
C0007,Monique Stewart,Lake Andrewbury,Saudi Arabia,2025-04-29
C0008,Ronald Arroyo,Sarahport,Bouvet Island (Bouvetoya),2024-08-23
C0009,Stephanie Evans,Lake Elizabeth,Sri Lanka,2026-03-05
C0010,Dr. Jonathan Horton,Smithchester,Heard Island and McDonald Islands,2025-11-23
C0011,Patricia Bender,Melanieside,Fiji,2024-08-23
C0012,Matthew Rodriguez,Garnerfort,Colombia,2025-04-22
C0013,Kevin Robertson,Maryfort,Saint Lucia,2024-06-20
C0014,Lindsay Blanchard,Gutierrezberg,Mongolia,2025-04-07
C0015,Alexander Raymond,South Calvinfort,British Virgin Islands,2025-11-30
C0016,Elizabeth Pierce,Jamesshire,Puerto Rico,2025-08-18
C0017,Kim Salazar,Bensontown,Gambia,2025-09-08
C0018,Adam Rogers,Michellefurt,Northern Mariana Islands,2024-06-25
C0019,Mark Castro,East Kristieview,Sao Tome and Principe,2025-03-31
C0020,Holly Peterson,Lake James,Slovenia,2025-07-09
C0021,Jennifer Poole,Jimenezshire,Costa Rica,2024-07-09
C0022,Justin Hill,South Nicolemouth,Cameroon,2024-06-29
C0023,Rose Pierce,Melissaland,Burkina Faso,2026-01-02
C0024,Connie Jones,East Alexanderfort,Swaziland,2024-12-31
C0025,Cody Arnold,Mckenzietown,Bulgaria,2024-08-12
C0026,Jonathan Flores,Smithborough,Comoros,2025-02-01
C0027,Robert Baker,Smithview,Papua New Guinea,2025-06-24
C0028,Andrew Phillips,Griffinfurt,Kuwait,2025-01-31
C0029,Beverly Suarez,Lopezton,Grenada,2024-10-01
C0030,Rodney Patterson,Millerborough,Myanmar,2025-11-26
C0031,Tyler Martinez,New Travisbury,Lesotho,2024-07-27
